time, leader_x, leader_y, follower_x, follower_y
8192,0.3602492500852112,0.00010487801783741311,-0.006766383516627419,0.010243255366381172
8224,0.3602465061701652,0.000400248648486278,-0.0019169113564043844,0.010157399759444715
8256,0.3602294357985659,0.0007345243742501961,0.0029321048788353656,0.010072267454528851
8288,0.36020093002189746,0.001108218916441118,0.007780794634993074,0.009987894304633031
8320,0.36016392577075235,0.0015216000862820513,0.012629296103863468,0.009904308101948672
8352,0.3601214156900223,0.00197462110283193,0.017477737045453887,0.009821528292124146
8384,0.3600764167973454,0.0024669269347096573,0.022261378743454834,0.0097406847095752
8416,0.36004814181554423,0.002926074732163391,0.027049797142018352,0.009660547165632472
8448,0.3600414080120698,0.003293431414611171,0.03186718141886771,0.009580718416984334
8480,0.36002817913295726,0.003559778010301089,0.03670059938613121,0.00950141836235548
8512,0.36003072929513935,0.0037276112954891115,0.04154264167767507,0.00942275074896769
8544,0.36004216051556587,0.0037928235263100935,0.04638951395479878,0.009344748539885638
8576,0.36004873683082395,0.003755650204865278,0.05123930884128239,0.00926740415483466
8608,0.360052265765313,0.003619789866923847,0.05353588798601959,0.009231273614310179
8640,0.36003732228425367,0.0033888709122560957,0.054433915654176455,0.00921742658322649
8672,0.3600035819387753,0.003065241084368223,0.05461843530583311,0.009214764682457926
8704,0.3599800116307647,0.0026444610693969616,0.054612330289223035,0.009214977488165334
8736,0.3599421683471121,0.002184277516074418,0.05460467589145393,0.009215190880686229
8768,0.3598949886260657,0.0017179255163654857,0.05459838823216197,0.00921536429028861
8800,0.3598437120892638,0.0012648266111903285,0.054593342703795726,0.009215503491521547
8832,0.3597932533370812,0.0008362270971837694,0.05458930234892575,0.009215615164800389
8864,0.35974803582631976,0.00043841322127160056,0.054586068749755065,0.009215704781121482
8896,0.3597119996535214,7.467759304367091e-05,0.05458348180326125,0.009215776733797131
8928,0.3596886571315898,-0.0002535279116403732,0.05458141281757155,0.009215834544303499
8960,0.35968116370670994,-0.000545896660166755,0.05457975848852252,0.009215881034191378
8992,0.35969235615211126,-0.0008028934729714006,0.05457843595481483,0.009215918463594144
9024,0.3597248117887225,-0.0010254786090310723,0.05457737879796759,0.009215948642447031
9056,0.35978084873640986,-0.00121500358656307,0.054576533811691176,0.009215973020061653
9088,0.3598625860185554,-0.0013730584966395833,0.0545758584146882,0.009215992756438942
9120,0.35997191954471514,-0.0015014630081844997,0.054603555589152315,0.00921751315670092
9152,0.36011055290163335,-0.0016021947684494364,0.05476005825650794,0.009211815242352076
9184,0.3602799654913692,-0.001677396925473153,0.05506691752197265,0.009178792209526379
9216,0.36048146552116744,-0.0017293024850546655,0.055431700273420995,0.00911108230184583
9248,0.36071614609166536,-0.001760258959021485,0.05574800151805119,0.009021895341447025
9280,0.36098490236387926,-0.0017726939222638591,0.05581487916772412,0.00900909639814294
9312,0.3612856863359154,-0.0017664368858342,0.05581436802967978,0.009005814326042437
9344,0.36161026302153276,-0.0017368546127520508,0.05580959804241931,0.009004570534352822
9376,0.36195135606573686,-0.0016838732114943323,0.05580566355382998,0.00900361434641829
9408,0.36230272072821845,-0.0016106455490111085,0.055802676533634264,0.00900279168558499
9440,0.3626595600109133,-0.0015226088682992066,0.0558004696416534,0.009002070432180797
9472,0.36302567197541635,-0.0014316586779367657,0.055798895294297504,0.00900142863801423
9504,0.363416651217106,-0.001352381929325159,0.05579705177386555,0.00900114123482691
9536,0.36380608955381805,-0.0012920415050030342,0.055668088564061226,0.009039714556388877
9568,0.36410958912999997,-0.0012626192917537988,0.05562236448991029,0.009051314277330335
9600,0.36432170723202967,-0.001256137057127757,0.0556250220225608,0.009050135676472372
9632,0.36443721643522237,-0.0012598792625707676,0.055627641192629564,0.009049010481067847
9664,0.3646500190385751,-0.0012714144918957112,0.05523267714643824,0.009167446223527822
9696,0.364653860998465,-0.0012815537763417996,0.055023351603836,0.009221684404268796
9728,0.3646375880774404,-0.0012876873373109925,0.05482596502418418,0.009269052693311242
9760,0.3645773068773539,-0.001286569312340812,0.05450666486104067,0.009337798359669889
9792,0.36444020829401097,-0.0012848407906175525,0.05414063560719997,0.009395903837867942
9824,0.3642137623203426,-0.0012662185596350904,0.053804927029330436,0.009424561071658408
9856,0.363896275216836,-0.0012219236855150735,0.05368635994322078,0.009419353735796224
9888,0.36351910516203895,-0.0011497072219096606,0.05373391869621836,0.009412928200994795
9920,0.36312460338885083,-0.0010545854824644705,0.05375315642730202,0.009410642432639229
9952,0.36272229122067534,-0.000952545289989847,0.0537541430510539,0.009408538336631333
9984,0.3626078722268951,-0.0009150996189597223,0.05383311815080838,0.009415892517817598
